Close,Date,High,Low,Open,Volume
53.5425,2019-09-09,54.110001000000004,52.767502,53.709998999999996,109237600.0
54.174999,2019-09-10,54.195,52.927502000000004,53.465,127111600.0
55.897498999999996,2019-09-11,55.927502000000004,54.432499,54.517502,177158400.0
55.772498999999996,2019-09-12,56.605,55.715,56.200001,128906800.0
54.6875,2019-09-13,55.197497999999996,54.255001,55.0,159053200.0
54.974998,2019-09-16,55.032501,54.389998999999996,54.432499,84632400.0
55.174999,2019-09-17,55.205002,54.779999,54.990002000000004,73274800.0
55.692501,2019-09-18,55.712502,54.860001000000004,55.264998999999996,101360000.0
55.240002000000004,2019-09-19,55.939999,55.092499,55.502499,88242400.0
54.432499,2019-09-20,55.639998999999996,54.3675,55.345001,221652400.0
54.68,2019-09-23,54.959998999999996,54.412498,54.737499,76662000.0
54.419998,2019-09-24,55.622501,54.297501000000004,55.2575,124763200.0
55.2575,2019-09-25,55.375,54.285,54.637501,87613600.0
54.9725,2019-09-26,55.235001000000004,54.7075,55.0,75334000.0
54.705002,2019-09-27,55.240002000000004,54.32,55.134997999999996,101408000.0
55.9925,2019-09-30,56.145,55.197497999999996,55.224998,103909600.0
56.147498999999996,2019-10-01,57.055,56.049999,56.267502,139223200.0
54.740002000000004,2019-10-02,55.895,54.482498,55.764998999999996,138449200.0
55.205002,2019-10-03,55.240002000000004,53.782501,54.607498,114426000.0
56.752499,2019-10-04,56.872501,55.9725,56.41,138478800.0
56.764998999999996,2019-10-07,57.482498,56.459998999999996,56.567501,122306000.0
56.099998,2019-10-08,57.014998999999996,56.0825,56.455002,111820000.0
56.7575,2019-10-09,56.947497999999996,56.41,56.7575,74770400.0
57.522498999999996,2019-10-10,57.610001000000004,56.825001,56.982498,113013600.0
59.052502000000004,2019-10-11,59.41,58.077498999999996,58.237499,166795600.0
58.967499,2019-10-14,59.532501,58.6675,58.724998,96427600.0
58.830002,2019-10-15,59.412498,58.720001,59.0975,87360000.0
58.592499,2019-10-16,58.810001,58.299999,58.342499,73903200.0
58.82,2019-10-17,59.037498,58.380001,58.772498999999996,67585200.0
59.102501000000004,2019-10-18,59.395,58.572497999999996,58.647498999999996,97433600.0
60.127499,2019-10-21,60.247501,59.330002,59.380001,87247200.0
59.990002000000004,2019-10-22,60.549999,59.904999,60.290001000000004,82293600.0
60.794998,2019-10-23,60.810001,60.305,60.525002,75828800.0
60.895,2019-10-24,61.200001,60.452498999999996,61.127499,69275200.0
61.645,2019-10-25,61.682499,60.720001,60.790001000000004,73477200.0
62.262501,2019-10-28,62.3125,61.68,61.855,96572800.0
60.822497999999996,2019-10-29,62.4375,60.642502,62.2425,142839600.0
60.814999,2019-10-30,61.325001,60.302502000000004,61.189999,124522000.0
62.189999,2019-10-31,62.2925,59.314999,61.810001,139162000.0
63.955002,2019-11-01,63.982498,62.290001000000004,62.384997999999996,151125200.0
64.375,2019-11-04,64.462502,63.845001,64.332497,103272000.0
64.282501,2019-11-05,64.547501,64.08000200000001,64.262497,79897600.0
64.309998,2019-11-06,64.372498,63.842499,64.192497,75864400.0
64.85749799999999,2019-11-07,65.087502,64.527496,64.684998,94940400.0
65.035004,2019-11-08,65.110001,64.212502,64.672501,69986400.0
65.550003,2019-11-11,65.6175,64.57,64.574997,81821200.0
65.489998,2019-11-12,65.697502,65.230003,65.387497,87388800.0
66.1175,2019-11-13,66.195,65.26750200000001,65.282501,102734400.0
65.660004,2019-11-14,66.220001,65.525002,65.9375,89182800.0
66.440002,2019-11-15,66.445,65.752502,65.91999799999999,100206400.0
66.775002,2019-11-18,66.85749799999999,66.057503,66.449997,86703200.0
66.572502,2019-11-19,67.0,66.347504,66.974998,76167200.0
65.797501,2019-11-20,66.519997,65.099998,66.385002,106234400.0
65.502502,2019-11-21,66.002502,65.29499799999999,65.922501,121395200.0
65.445,2019-11-22,65.79499799999999,65.209999,65.647499,65325200.0
66.592499,2019-11-25,66.610001,65.629997,65.677498,84020400.0
66.072502,2019-11-26,66.790001,65.625,66.735001,105207600.0
66.959999,2019-11-27,66.995003,66.327499,66.394997,65235600.0
66.8125,2019-11-29,67.0,66.474998,66.650002,46617600.0
66.040001,2019-12-02,67.0625,65.862503,66.817497,94487200.0
64.862503,2019-12-03,64.8825,64.072502,64.577499,114430400.0
65.434998,2019-12-04,65.827499,65.16999799999999,65.26750200000001,67181600.0
